F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F28.1,F29,Target
4.1,4.5,3.7,7.3,3.4,2.3,63125.894,792.305,3.276,42420.0,81.539,89.84058250999999,99.18698,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,8.8
44.7,46.5,42.6,75.4,38.5,19.2,9306.023,183.787,8.429,5290.0,70.739,99.75984067,84.72605,9.7,31.9,11.8,83.3,16.2,7.7,1.8,25.1,6.8,13.9,87.0,53.8,80.0,88.0,71.0,82.0,86.0,94.5
11.9,13.3,10.4,23.0,9.8,6.5,142835.555,1688.954,20.173,10400.0,68.823,99.57627,95.65976,6.0,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,35.0,97.0,99.0,92.0,70.0,74.0,27.3
5.9,6.5,5.3,9.1,4.7,2.8,4414.509,64.367,0.39,29350.0,80.654,89.84058250999999,99.46772,6.3,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,85.0,92.0,11.1
10.1,11.1,9.1,14.5,8.6,6.1,4726.575,73.376,0.719,7660.0,79.311,96.15763,95.50092000000001,7.2,51.5,15.3,91.6,40.0,1.1,3.05,5.6,1.0,8.1,87.0,68.25,97.0,100.0,91.0,95.0,95.0,17.2
3.7,4.1,3.3,7.2,3.1,2.4,5572.594,63.674,0.243,60390.0,78.826,89.84058250999999,95.97361,4.5,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,8.7
22.8,25.0,20.5,40.8,19.6,10.2,14666.055,297.868,6.825,4140.0,75.632,91.85404065,98.47348,8.0,51.5,39.5,76.5,22.7,6.2,3.05,28.5,5.2,5.1,87.0,68.25,94.0,96.0,89.0,92.0,96.0,52.4
6.6,7.2,6.0,18.9,5.6,3.9,7890.924,94.252,0.642,40760.0,76.546,90.03384502,95.50092000000001,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,98.0,98.0,22.2
82.9,85.9,79.8,114.2,52.7,27.4,13474.959,622.268,46.315,1160.0,49.025,71.2113,92.66735,11.0,56.5,60.9,94.3,41.7,14.6,2.9,45.4,5.2,8.4,72.0,77.4,61.0,87.0,46.0,48.0,57.0,192.8
21.3,22.9,19.7,45.0,18.2,9.8,500.585,10.194,0.218,3540.0,74.156,84.29006,93.47458,6.0,72.7,59.6,80.0,12.7,11.75,3.05,28.5,5.2,6.6,87.0,74.8,88.0,90.0,85.0,61.0,73.0,58.0
4.0,4.4,3.6,7.5,3.2,2.2,4525.802,72.285,0.309,38580.0,80.557,89.84058250999999,99.69435,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,99.0,100.0,9.0
