Feat1,Feat2,Feat3,Target
17.2,4.1,31.6,0.16929134
166.8,42,3.6,0.70866142
149.7,35.6,6,0.61811024
38.2,3.7,13.8,0.23622047
94.2,4.9,8.1,0.48818898
177,9.3,6.4,0.51968504
283.6,42,66.2,0.94094488
232.1,8.6,8.7,0.66141732
230.1,37.8,69.2,0.80708661
66.1,5.8,24.2,0.43307087
214.7,24,4,0.62204724
23.8,35.1,65.9,0.2992126
97.5,7.6,7.2,0.47637795
204.1,32.9,46,0.68503937
195.4,47.7,52.9,0.81889764
67.8,36.6,114,0.42913386
281.4,39.6,55.8,0.8976378
69.2,20.5,18.3,0.38188976
147.3,23.9,19.1,0.51181102
218.4,27.7,53.4,0.64566929
237.4,5.1,23.5,0.62598425
13.2,15.9,49.6,0.15748031
228.3,16.9,26.2,0.74409449
62.3,12.6,18.3,0.31889764
262.9,3.5,19.5,0.60629921
142.9,29.3,12.6,0.52755906
240.1,16.7,22.9,0.75984252
248.8,27.1,22.9,0.68110236
70.6,16,40.8,0.3503937
292.9,28.3,43.2,0.77952756
112.9,17.4,38.6,0.40551181
97.2,1.5,30,0.45669291
265.6,20,0.3,0.62204724
95.7,1.4,7.4,0.40551181
290.7,4.1,8.5,0.63779528
266.9,43.8,5,0.93700787
74.7,49.4,45.7,0.51574803
43.1,26.7,35.1,0.33464567
228,37.7,32,0.78346457
202.5,22.3,31.6,0.59055118
177,33.4,38.7,0.61023622
293.6,27.7,1.8,0.7519685
206.9,8.4,26.4,0.64173228
25.1,25.7,43.3,0.27165354
175.1,22.5,31.5,0.57086614
89.7,9.9,35.7,0.35433071
239.9,41.5,18.5,0.8503937
227.2,15.8,49.9,0.71653543
66.9,11.7,36.8,0.31889764
199.8,3.1,34.6,0.58267717
100.4,9.6,3.6,0.35826772
216.4,41.7,39.6,0.82677165
182.6,46.2,58.7,0.77165354
262.7,28.8,15.9,0.73228346
198.9,49.4,60,0.87007874
7.3,28.1,41.4,0.15354331
136.2,19.2,16.6,0.45669291
210.8,49.6,37.7,0.87401575
210.7,29.5,9.3,0.66141732
53.5,2,21.4,0.25590551
261.3,42.7,54.7,0.88976378
239.3,15.5,27.3,0.7519685
102.7,29.6,8.4,0.48818898
131.1,42.8,28.9,0.56692913
69,9.3,0.9,0.38188976
